variable;unit;tier;description;comment;weight;piam_variable;piam_unit;piam_factor;internal_comment;source;interpolation
Price|Final Energy|Industry|Hydrogen|Other;USD_2010/GJ;2;Price for hydrogen from other sources in the industrial sector excluding non-energy use (e.g.feedstocks) including transmission and distribution costs, including carbon prices but not including other taxes;;Final Energy|Industry|Hydrogen|Other;;;;;;
Price|Final Energy|Industry|Hydrogen|Solar;USD_2010/GJ;2;Price for hydrogen from solar energy (e.g. thermochemical water splitting with solar heat) in the industrial sector excluding non-energy use (e.g.feedstocks) including transmission and distribution costs, including carbon prices but not including other taxes;;Final Energy|Industry|Hydrogen|Solar;;;;;;
Price|Final Energy|Industry|Iron and Steel|Electricity;USD_2010/GJ;2;Electricity price including transmission and distribution costs, including carbon prices but not including other taxes;;Final Energy|Industry|Iron and Steel|Electricity;;;;;;
Price|Final Energy|Industry|Iron and Steel|Gases;USD_2010/GJ;2;Price for gaseous fuels including natural gas and biogas, not including hydrogen in the iron and steel sector excluding feedstocks including transmission and distribution costs, including carbon prices but not including other taxes;;Final Energy|Industry|Iron and Steel|Gases;;;;;;
Price|Final Energy|Industry|Iron and Steel|Gases|Biomass;USD_2010/GJ;3;Price for gaseous fuels from biogenic sources, mainly biogas in the iron and steel sector excluding feedstocks including transmission and distribution costs, including carbon prices but not including other taxes;;Final Energy|Industry|Iron and Steel|Gases|Biomass;;;;;;
Price|Final Energy|Industry|Iron and Steel|Gases|Coal;USD_2010/GJ;3;Price for gaseous fuels from fossil coal gasification in the iron and steel sector excluding feedstocks including transmission and distribution costs, including carbon prices but not including other taxes;;Final Energy|Industry|Iron and Steel|Gases|Coal;;;;;;
Price|Final Energy|Industry|Iron and Steel|Gases|Electricity;USD_2010/GJ;3;Price for gas from electricity i.e., 'power-to-gas' (if hydrogen is not explicitly modeled as an intermediate product) in the iron and steel sector excluding feedstocks including transmission and distribution costs, including carbon prices but not including other taxes;;Final Energy|Industry|Iron and Steel|Gases|Electricity;;;;;;
Price|Final Energy|Industry|Iron and Steel|Gases|Fossil;USD_2010/GJ;3;Price for gaseous fuels from fossil fuels including natural gas and coal in the iron and steel sector excluding feedstocks including transmission and distribution costs, including carbon prices but not including other taxes;;Final Energy|Industry|Iron and Steel|Gases|Fossil;;;;;;
Price|Final Energy|Industry|Iron and Steel|Gases|Gas;USD_2010/GJ;3;Price for fossil methane ('natural gas') in the iron and steel sector excluding feedstocks including transmission and distribution costs, including carbon prices but not including other taxes;;Final Energy|Industry|Iron and Steel|Gases|Gas;;;;;;
Price|Final Energy|Industry|Iron and Steel|Gases|Hydrogen;USD_2010/GJ;3;Price for gaseous fuels from hydrogen (if hydrogen is explicitly modeled as a commodity and not an implicit intermediate product of the transformation technologies) in the iron and steel sector excluding feedstocks including transmission and distribution costs, including carbon prices but not including other taxes;;Final Energy|Industry|Iron and Steel|Gases|Hydrogen;;;;;;
Price|Final Energy|Industry|Iron and Steel|Gases|Other;USD_2010/GJ;3;Price for gaseous fuels from sources that do not fit any other category in the iron and steel sector excluding feedstocks including transmission and distribution costs, including carbon prices but not including other taxes;;Final Energy|Industry|Iron and Steel|Gases|Other;;;;;;
Price|Final Energy|Industry|Iron and Steel|Heat;USD_2010/GJ;2;Price for centralized heat in the iron and steel sector excluding feedstocks including transmission and distribution costs, including carbon prices but not including other taxes;;Final Energy|Industry|Iron and Steel|Heat;;;;;;
Price|Final Energy|Industry|Iron and Steel|Heat|Biomass;USD_2010/GJ;3;Price for centralized heat from biomass, including biogas in the iron and steel sector excluding feedstocks including transmission and distribution costs, including carbon prices but not including other taxes;;Final Energy|Industry|Iron and Steel|Heat|Biomass;;;;;;
Price|Final Energy|Industry|Iron and Steel|Heat|Coal;USD_2010/GJ;3;Price for centralized heat from coal in the iron and steel sector excluding feedstocks including transmission and distribution costs, including carbon prices but not including other taxes;;Final Energy|Industry|Iron and Steel|Heat|Coal;;;;;;
Price|Final Energy|Industry|Iron and Steel|Heat|Electricity;USD_2010/GJ;3;Price for centralized heat from electricity in the iron and steel sector excluding feedstocks including transmission and distribution costs, including carbon prices but not including other taxes;;Final Energy|Industry|Iron and Steel|Heat|Electricity;;;;;;
Price|Final Energy|Industry|Iron and Steel|Heat|Fossil;USD_2010/GJ;3;Price for centralized heat from fossil fuels including natural gas, oil and coal in the iron and steel sector excluding feedstocks including transmission and distribution costs, including carbon prices but not including other taxes;;Final Energy|Industry|Iron and Steel|Heat|Fossil;;;;;;
Price|Final Energy|Industry|Iron and Steel|Heat|Gas;USD_2010/GJ;3;Price for centralized heat from fossil methane ('natural gas') in the iron and steel sector excluding feedstocks including transmission and distribution costs, including carbon prices but not including other taxes;;Final Energy|Industry|Iron and Steel|Heat|Gas;;;;;;
Price|Final Energy|Industry|Iron and Steel|Heat|Geothermal;USD_2010/GJ;3;Price for centralized heat from geothermal energy excluding ground-source heat pumps in the iron and steel sector excluding feedstocks including transmission and distribution costs, including carbon prices but not including other taxes;;Final Energy|Industry|Iron and Steel|Heat|Geothermal;;;;;;
Price|Final Energy|Industry|Iron and Steel|Heat|Hydrogen;USD_2010/GJ;3;Price for centralized heat from hydrogen in the iron and steel sector excluding feedstocks including transmission and distribution costs, including carbon prices but not including other taxes;;Final Energy|Industry|Iron and Steel|Heat|Hydrogen;;;;;;
Price|Final Energy|Industry|Iron and Steel|Heat|Nuclear;USD_2010/GJ;3;Price for centralized heat from nuclear energy in the iron and steel sector excluding feedstocks including transmission and distribution costs, including carbon prices but not including other taxes;;Final Energy|Industry|Iron and Steel|Heat|Nuclear;;;;;;
Price|Final Energy|Industry|Iron and Steel|Heat|Oil;USD_2010/GJ;3;Price for centralized heat from refined crude oil in the iron and steel sector excluding feedstocks including transmission and distribution costs, including carbon prices but not including other taxes;;Final Energy|Industry|Iron and Steel|Heat|Oil;;;;;;
Price|Final Energy|Industry|Iron and Steel|Heat|Other;USD_2010/GJ;3;Price for centralized heat from sources that do not fit any other category in the iron and steel sector excluding feedstocks including transmission and distribution costs, including carbon prices but not including other taxes;;Final Energy|Industry|Iron and Steel|Heat|Other;;;;;;
Price|Final Energy|Industry|Iron and Steel|Heat|Solar;USD_2010/GJ;3;Price for centralized heat from solar energy in the iron and steel sector excluding feedstocks including transmission and distribution costs, including carbon prices but not including other taxes;;Final Energy|Industry|Iron and Steel|Heat|Solar;;;;;;
Price|Final Energy|Industry|Iron and Steel|Hydrogen;USD_2010/GJ;2;Price for hydrogen in the iron and steel sector excluding feedstocks including transmission and distribution costs, including carbon prices but not including other taxes;;Final Energy|Industry|Iron and Steel|Hydrogen;;;;;;
Price|Final Energy|Industry|Iron and Steel|Hydrogen|Biomass;USD_2010/GJ;3;Price for hydrogen generated from biomass in the iron and steel sector excluding feedstocks including transmission and distribution costs, including carbon prices but not including other taxes;;Final Energy|Industry|Iron and Steel|Hydrogen|Biomass;;;;;;
Price|Final Energy|Industry|Iron and Steel|Hydrogen|Coal;USD_2010/GJ;3;Price for hydrogen from coal in the iron and steel sector excluding feedstocks including transmission and distribution costs, including carbon prices but not including other taxes;;Final Energy|Industry|Iron and Steel|Hydrogen|Coal;;;;;;
Price|Final Energy|Industry|Iron and Steel|Hydrogen|Electricity;USD_2010/GJ;3;Price for hydrogen from electrolysis in the iron and steel sector excluding feedstocks including transmission and distribution costs, including carbon prices but not including other taxes;;Final Energy|Industry|Iron and Steel|Hydrogen|Electricity;;;;;;
Price|Final Energy|Industry|Iron and Steel|Hydrogen|Fossil;USD_2010/GJ;3;Price for hydrogen from fossil fuels including natural gas, oil and coal in the iron and steel sector excluding feedstocks including transmission and distribution costs, including carbon prices but not including other taxes;;Final Energy|Industry|Iron and Steel|Hydrogen|Fossil;;;;;;
Price|Final Energy|Industry|Iron and Steel|Hydrogen|Gas;USD_2010/GJ;3;Price for hydrogen from fossil methane ('natural gas') in the iron and steel sector excluding feedstocks including transmission and distribution costs, including carbon prices but not including other taxes;;Final Energy|Industry|Iron and Steel|Hydrogen|Gas;;;;;;
Price|Final Energy|Industry|Iron and Steel|Hydrogen|Nuclear;USD_2010/GJ;3;Price for hydrogen from nuclear energy (e.g. thermochemical water splitting with nuclear heat) in the iron and steel sector excluding feedstocks including transmission and distribution costs, including carbon prices but not including other taxes;;Final Energy|Industry|Iron and Steel|Hydrogen|Nuclear;;;;;;
Price|Final Energy|Industry|Iron and Steel|Hydrogen|Oil;USD_2010/GJ;3;Price for hydrogen from refined crude oil in the iron and steel sector excluding feedstocks including transmission and distribution costs, including carbon prices but not including other taxes;;Final Energy|Industry|Iron and Steel|Hydrogen|Oil;;;;;;
Price|Final Energy|Industry|Iron and Steel|Hydrogen|Other;USD_2010/GJ;3;Price for hydrogen from other sources in the iron and steel sector excluding feedstocks including transmission and distribution costs, including carbon prices but not including other taxes;;Final Energy|Industry|Iron and Steel|Hydrogen|Other;;;;;;
Price|Final Energy|Industry|Iron and Steel|Hydrogen|Solar;USD_2010/GJ;3;Price for hydrogen from solar energy (e.g. thermochemical water splitting with solar heat) in the iron and steel sector excluding feedstocks including transmission and distribution costs, including carbon prices but not including other taxes;;Final Energy|Industry|Iron and Steel|Hydrogen|Solar;;;;;;
Price|Final Energy|Industry|Iron and Steel|Liquids;USD_2010/GJ;2;Price for refined liquid fuels including oil products, fuels from gas and coal, synthetic fuels and biofuels in the iron and steel sector excluding feedstocks including transmission and distribution costs, including carbon prices but not including other taxes;;Final Energy|Industry|Iron and Steel|Liquids;;;;;;
Price|Final Energy|Industry|Iron and Steel|Liquids|Biomass;USD_2010/GJ;3;Price for liquid fuels from biomass in the iron and steel sector excluding feedstocks including transmission and distribution costs, including carbon prices but not including other taxes;;Final Energy|Industry|Iron and Steel|Liquids|Biomass;;;;;;
Price|Final Energy|Industry|Iron and Steel|Liquids|Coal;USD_2010/GJ;3;Price for liquid fuels from coal in the iron and steel sector excluding feedstocks including transmission and distribution costs, including carbon prices but not including other taxes;;Final Energy|Industry|Iron and Steel|Liquids|Coal;;;;;;
Price|Final Energy|Industry|Iron and Steel|Liquids|Electricity;USD_2010/GJ;3;Price for liquid synthetic fuels from electricity, i.e., e-fuels (if hydrogen is not explicitly modeled as an intermediate product) in the iron and steel sector excluding feedstocks including transmission and distribution costs, including carbon prices but not including other taxes;;Final Energy|Industry|Iron and Steel|Liquids|Electricity;;;;;;
Price|Final Energy|Industry|Iron and Steel|Liquids|Fossil;USD_2010/GJ;3;Price for liquid fuels from fossil fuels including coal, natural gas and conventional/unconventional oil in the iron and steel sector excluding feedstocks including transmission and distribution costs, including carbon prices but not including other taxes;;Final Energy|Industry|Iron and Steel|Liquids|Fossil;;;;;;
Price|Final Energy|Industry|Iron and Steel|Liquids|Gas;USD_2010/GJ;3;Price for liquid fuels from fossil methane ('natural gas') in the iron and steel sector excluding feedstocks including transmission and distribution costs, including carbon prices but not including other taxes;;Final Energy|Industry|Iron and Steel|Liquids|Gas;;;;;;
Price|Final Energy|Industry|Iron and Steel|Liquids|Hydrogen;USD_2010/GJ;3;Price for liquid fuels from hydrogen (if hydrogen is explicitly modeled as a commodity and not an implicit intermediate product of the transformation technologies) in the iron and steel sector excluding feedstocks including transmission and distribution costs, including carbon prices but not including other taxes;;Final Energy|Industry|Iron and Steel|Liquids|Hydrogen;;;;;;
Price|Final Energy|Industry|Iron and Steel|Liquids|Oil;USD_2010/GJ;3;Price for liquid fuels from refined crude oil in the iron and steel sector excluding feedstocks including transmission and distribution costs, including carbon prices but not including other taxes;;Final Energy|Industry|Iron and Steel|Liquids|Oil;;;;;;
Price|Final Energy|Industry|Iron and Steel|Liquids|Other;USD_2010/GJ;3;Price for sources that do not fit any other category in the iron and steel sector excluding feedstocks including transmission and distribution costs, including carbon prices but not including other taxes;;Final Energy|Industry|Iron and Steel|Liquids|Other;;;;;;
Price|Final Energy|Industry|Iron and Steel|Solids;USD_2010/GJ;2;Price for solid energy carriers, including coal, briquettes, coke, and wood pellets in the iron and steel sector excluding feedstocks including transmission and distribution costs, including carbon prices but not including other taxes;;Final Energy|Industry|Iron and Steel|Solids;;;;;;
Price|Final Energy|Industry|Iron and Steel|Solids|Biomass;USD_2010/GJ;3;Price for solid biomass (e.g., commercial charcoal, wood chips, wood pellets), not including traditional bioenergy in the iron and steel sector excluding feedstocks including transmission and distribution costs, including carbon prices but not including other taxes;;Final Energy|Industry|Iron and Steel|Solids|Biomass;;;;;;
Price|Final Energy|Industry|Iron and Steel|Solids|Coal;USD_2010/GJ;3;Price for coal, lignite, and derived products (e.g., coke, briquettes) in the iron and steel sector excluding feedstocks including transmission and distribution costs, including carbon prices but not including other taxes;;Final Energy|Industry|Iron and Steel|Solids|Coal;;;;;;
Price|Final Energy|Industry|Liquids;USD_2010/GJ;1;Price for refined liquid fuels including oil products, fuels from gas and coal, synthetic fuels and biofuels in the industrial sector excluding non-energy use (e.g.feedstocks) including transmission and distribution costs, including carbon prices but not including other taxes;;Final Energy|Industry|Liquids;Price|Final Energy|Industry|Liquids;US$2017/GJ;0.9096;;R;
Price|Final Energy|Industry|Liquids|Biomass;USD_2010/GJ;2;Price for liquid fuels from biomass in the industrial sector excluding non-energy use (e.g.feedstocks) including transmission and distribution costs, including carbon prices but not including other taxes;;Final Energy|Industry|Liquids|Biomass;Price|Final Energy|Industry|Liquids|Biomass;US$2017/GJ;0.9096;;R;
Price|Final Energy|Industry|Liquids|Coal;USD_2010/GJ;2;Price for liquid fuels from coal in the industrial sector excluding non-energy use (e.g.feedstocks) including transmission and distribution costs, including carbon prices but not including other taxes;;Final Energy|Industry|Liquids|Coal;;;;;;
Price|Final Energy|Industry|Liquids|Electricity;USD_2010/GJ;2;Price for liquid synthetic fuels from electricity, i.e., e-fuels (if hydrogen is not explicitly modeled as an intermediate product) in the industrial sector excluding non-energy use (e.g.feedstocks) including transmission and distribution costs, including carbon prices but not including other taxes;;Final Energy|Industry|Liquids|Electricity;Price|Final Energy|Industry|Liquids|Efuel;US$2017/GJ;0.9096;;R;
Price|Final Energy|Industry|Liquids|Fossil;USD_2010/GJ;2;Price for liquid fuels from fossil fuels including coal, natural gas and conventional/unconventional oil in the industrial sector excluding non-energy use (e.g.feedstocks) including transmission and distribution costs, including carbon prices but not including other taxes;;Final Energy|Industry|Liquids|Fossil;Price|Final Energy|Industry|Liquids|Fossil;US$2017/GJ;0.9096;;R;
Price|Final Energy|Industry|Liquids|Gas;USD_2010/GJ;2;Price for liquid fuels from fossil methane ('natural gas') in the industrial sector excluding non-energy use (e.g.feedstocks) including transmission and distribution costs, including carbon prices but not including other taxes;;Final Energy|Industry|Liquids|Gas;;;;;;
Price|Final Energy|Industry|Liquids|Hydrogen;USD_2010/GJ;2;Price for liquid fuels from hydrogen (if hydrogen is explicitly modeled as a commodity and not an implicit intermediate product of the transformation technologies) in the industrial sector excluding non-energy use (e.g.feedstocks) including transmission and distribution costs, including carbon prices but not including other taxes;;Final Energy|Industry|Liquids|Hydrogen;;;;;;
Price|Final Energy|Industry|Liquids|Oil;USD_2010/GJ;2;Price for liquid fuels from refined crude oil in the industrial sector excluding non-energy use (e.g.feedstocks) including transmission and distribution costs, including carbon prices but not including other taxes;;Final Energy|Industry|Liquids|Oil;Price|Final Energy|Industry|Liquids|Oil|Total LCOE;US$2017/GJ;0.9096;;R;
Price|Final Energy|Industry|Liquids|Other;USD_2010/GJ;2;Price for sources that do not fit any other category in the industrial sector excluding non-energy use (e.g.feedstocks) including transmission and distribution costs, including carbon prices but not including other taxes;;Final Energy|Industry|Liquids|Other;;;;;;
Price|Final Energy|Industry|Non-Ferrous Metals|Aluminum|Electricity;USD_2010/GJ;2;Electricity price including transmission and distribution costs, including carbon prices but not including other taxes;;Final Energy|Industry|Non-Ferrous Metals|Aluminum|Electricity;;;;;;
Price|Final Energy|Industry|Non-Ferrous Metals|Aluminum|Gases;USD_2010/GJ;2;Price for gaseous fuels including natural gas and biogas, not including hydrogen in the aluminum including transmission and distribution costs, including carbon prices but not including other taxes;;Final Energy|Industry|Non-Ferrous Metals|Aluminum|Gases;;;;;;
Price|Final Energy|Industry|Non-Ferrous Metals|Aluminum|Gases|Biomass;USD_2010/GJ;3;Price for gaseous fuels from biogenic sources, mainly biogas in the aluminum including transmission and distribution costs, including carbon prices but not including other taxes;;Final Energy|Industry|Non-Ferrous Metals|Aluminum|Gases|Biomass;;;;;;
Price|Final Energy|Industry|Non-Ferrous Metals|Aluminum|Gases|Coal;USD_2010/GJ;3;Price for gaseous fuels from fossil coal gasification in the aluminum including transmission and distribution costs, including carbon prices but not including other taxes;;Final Energy|Industry|Non-Ferrous Metals|Aluminum|Gases|Coal;;;;;;
Price|Final Energy|Industry|Non-Ferrous Metals|Aluminum|Gases|Electricity;USD_2010/GJ;3;Price for gas from electricity i.e., 'power-to-gas' (if hydrogen is not explicitly modeled as an intermediate product) in the aluminum including transmission and distribution costs, including carbon prices but not including other taxes;;Final Energy|Industry|Non-Ferrous Metals|Aluminum|Gases|Electricity;;;;;;
Price|Final Energy|Industry|Non-Ferrous Metals|Aluminum|Gases|Fossil;USD_2010/GJ;3;Price for gaseous fuels from fossil fuels including natural gas and coal in the aluminum including transmission and distribution costs, including carbon prices but not including other taxes;;Final Energy|Industry|Non-Ferrous Metals|Aluminum|Gases|Fossil;;;;;;
Price|Final Energy|Industry|Non-Ferrous Metals|Aluminum|Gases|Gas;USD_2010/GJ;3;Price for fossil methane ('natural gas') in the aluminum including transmission and distribution costs, including carbon prices but not including other taxes;;Final Energy|Industry|Non-Ferrous Metals|Aluminum|Gases|Gas;;;;;;
Price|Final Energy|Industry|Non-Ferrous Metals|Aluminum|Gases|Hydrogen;USD_2010/GJ;3;Price for gaseous fuels from hydrogen (if hydrogen is explicitly modeled as a commodity and not an implicit intermediate product of the transformation technologies) in the aluminum including transmission and distribution costs, including carbon prices but not including other taxes;;Final Energy|Industry|Non-Ferrous Metals|Aluminum|Gases|Hydrogen;;;;;;
Price|Final Energy|Industry|Non-Ferrous Metals|Aluminum|Gases|Other;USD_2010/GJ;3;Price for gaseous fuels from sources that do not fit any other category in the aluminum including transmission and distribution costs, including carbon prices but not including other taxes;;Final Energy|Industry|Non-Ferrous Metals|Aluminum|Gases|Other;;;;;;
Price|Final Energy|Industry|Non-Ferrous Metals|Aluminum|Heat;USD_2010/GJ;2;Price for centralized heat in the aluminum including transmission and distribution costs, including carbon prices but not including other taxes;;Final Energy|Industry|Non-Ferrous Metals|Aluminum|Heat;;;;;;
Price|Final Energy|Industry|Non-Ferrous Metals|Aluminum|Heat|Biomass;USD_2010/GJ;3;Price for centralized heat from biomass, including biogas in the aluminum including transmission and distribution costs, including carbon prices but not including other taxes;;Final Energy|Industry|Non-Ferrous Metals|Aluminum|Heat|Biomass;;;;;;
Price|Final Energy|Industry|Non-Ferrous Metals|Aluminum|Heat|Coal;USD_2010/GJ;3;Price for centralized heat from coal in the aluminum including transmission and distribution costs, including carbon prices but not including other taxes;;Final Energy|Industry|Non-Ferrous Metals|Aluminum|Heat|Coal;;;;;;
Price|Final Energy|Industry|Non-Ferrous Metals|Aluminum|Heat|Electricity;USD_2010/GJ;3;Price for centralized heat from electricity in the aluminum including transmission and distribution costs, including carbon prices but not including other taxes;;Final Energy|Industry|Non-Ferrous Metals|Aluminum|Heat|Electricity;;;;;;
Price|Final Energy|Industry|Non-Ferrous Metals|Aluminum|Heat|Fossil;USD_2010/GJ;3;Price for centralized heat from fossil fuels including natural gas, oil and coal in the aluminum including transmission and distribution costs, including carbon prices but not including other taxes;;Final Energy|Industry|Non-Ferrous Metals|Aluminum|Heat|Fossil;;;;;;
Price|Final Energy|Industry|Non-Ferrous Metals|Aluminum|Heat|Gas;USD_2010/GJ;3;Price for centralized heat from fossil methane ('natural gas') in the aluminum including transmission and distribution costs, including carbon prices but not including other taxes;;Final Energy|Industry|Non-Ferrous Metals|Aluminum|Heat|Gas;;;;;;
Price|Final Energy|Industry|Non-Ferrous Metals|Aluminum|Heat|Geothermal;USD_2010/GJ;3;Price for centralized heat from geothermal energy excluding ground-source heat pumps in the aluminum including transmission and distribution costs, including carbon prices but not including other taxes;;Final Energy|Industry|Non-Ferrous Metals|Aluminum|Heat|Geothermal;;;;;;
Price|Final Energy|Industry|Non-Ferrous Metals|Aluminum|Heat|Hydrogen;USD_2010/GJ;3;Price for centralized heat from hydrogen in the aluminum including transmission and distribution costs, including carbon prices but not including other taxes;;Final Energy|Industry|Non-Ferrous Metals|Aluminum|Heat|Hydrogen;;;;;;
Price|Final Energy|Industry|Non-Ferrous Metals|Aluminum|Heat|Nuclear;USD_2010/GJ;3;Price for centralized heat from nuclear energy in the aluminum including transmission and distribution costs, including carbon prices but not including other taxes;;Final Energy|Industry|Non-Ferrous Metals|Aluminum|Heat|Nuclear;;;;;;
Price|Final Energy|Industry|Non-Ferrous Metals|Aluminum|Heat|Oil;USD_2010/GJ;3;Price for centralized heat from refined crude oil in the aluminum including transmission and distribution costs, including carbon prices but not including other taxes;;Final Energy|Industry|Non-Ferrous Metals|Aluminum|Heat|Oil;;;;;;
Price|Final Energy|Industry|Non-Ferrous Metals|Aluminum|Heat|Other;USD_2010/GJ;3;Price for centralized heat from sources that do not fit any other category in the aluminum including transmission and distribution costs, including carbon prices but not including other taxes;;Final Energy|Industry|Non-Ferrous Metals|Aluminum|Heat|Other;;;;;;
Price|Final Energy|Industry|Non-Ferrous Metals|Aluminum|Heat|Solar;USD_2010/GJ;3;Price for centralized heat from solar energy in the aluminum including transmission and distribution costs, including carbon prices but not including other taxes;;Final Energy|Industry|Non-Ferrous Metals|Aluminum|Heat|Solar;;;;;;
Price|Final Energy|Industry|Non-Ferrous Metals|Aluminum|Hydrogen;USD_2010/GJ;2;Price for hydrogen in the aluminum including transmission and distribution costs, including carbon prices but not including other taxes;;Final Energy|Industry|Non-Ferrous Metals|Aluminum|Hydrogen;;;;;;
Price|Final Energy|Industry|Non-Ferrous Metals|Aluminum|Hydrogen|Biomass;USD_2010/GJ;3;Price for hydrogen generated from biomass in the aluminum including transmission and distribution costs, including carbon prices but not including other taxes;;Final Energy|Industry|Non-Ferrous Metals|Aluminum|Hydrogen|Biomass;;;;;;
Price|Final Energy|Industry|Non-Ferrous Metals|Aluminum|Hydrogen|Coal;USD_2010/GJ;3;Price for hydrogen from coal in the aluminum including transmission and distribution costs, including carbon prices but not including other taxes;;Final Energy|Industry|Non-Ferrous Metals|Aluminum|Hydrogen|Coal;;;;;;
Price|Final Energy|Industry|Non-Ferrous Metals|Aluminum|Hydrogen|Electricity;USD_2010/GJ;3;Price for hydrogen from electrolysis in the aluminum including transmission and distribution costs, including carbon prices but not including other taxes;;Final Energy|Industry|Non-Ferrous Metals|Aluminum|Hydrogen|Electricity;;;;;;
Price|Final Energy|Industry|Non-Ferrous Metals|Aluminum|Hydrogen|Fossil;USD_2010/GJ;3;Price for hydrogen from fossil fuels including natural gas, oil and coal in the aluminum including transmission and distribution costs, including carbon prices but not including other taxes;;Final Energy|Industry|Non-Ferrous Metals|Aluminum|Hydrogen|Fossil;;;;;;
Price|Final Energy|Industry|Non-Ferrous Metals|Aluminum|Hydrogen|Gas;USD_2010/GJ;3;Price for hydrogen from fossil methane ('natural gas') in the aluminum including transmission and distribution costs, including carbon prices but not including other taxes;;Final Energy|Industry|Non-Ferrous Metals|Aluminum|Hydrogen|Gas;;;;;;
Price|Final Energy|Industry|Non-Ferrous Metals|Aluminum|Hydrogen|Nuclear;USD_2010/GJ;3;Price for hydrogen from nuclear energy (e.g. thermochemical water splitting with nuclear heat) in the aluminum including transmission and distribution costs, including carbon prices but not including other taxes;;Final Energy|Industry|Non-Ferrous Metals|Aluminum|Hydrogen|Nuclear;;;;;;
Price|Final Energy|Industry|Non-Ferrous Metals|Aluminum|Hydrogen|Oil;USD_2010/GJ;3;Price for hydrogen from refined crude oil in the aluminum including transmission and distribution costs, including carbon prices but not including other taxes;;Final Energy|Industry|Non-Ferrous Metals|Aluminum|Hydrogen|Oil;;;;;;
Price|Final Energy|Industry|Non-Ferrous Metals|Aluminum|Hydrogen|Other;USD_2010/GJ;3;Price for hydrogen from other sources in the aluminum including transmission and distribution costs, including carbon prices but not including other taxes;;Final Energy|Industry|Non-Ferrous Metals|Aluminum|Hydrogen|Other;;;;;;
Price|Final Energy|Industry|Non-Ferrous Metals|Aluminum|Hydrogen|Solar;USD_2010/GJ;3;Price for hydrogen from solar energy (e.g. thermochemical water splitting with solar heat) in the aluminum including transmission and distribution costs, including carbon prices but not including other taxes;;Final Energy|Industry|Non-Ferrous Metals|Aluminum|Hydrogen|Solar;;;;;;
Price|Final Energy|Industry|Non-Ferrous Metals|Aluminum|Liquids;USD_2010/GJ;2;Price for refined liquid fuels including oil products, fuels from gas and coal, synthetic fuels and biofuels in the aluminum including transmission and distribution costs, including carbon prices but not including other taxes;;Final Energy|Industry|Non-Ferrous Metals|Aluminum|Liquids;;;;;;
Price|Final Energy|Industry|Non-Ferrous Metals|Aluminum|Liquids|Biomass;USD_2010/GJ;3;Price for liquid fuels from biomass in the aluminum including transmission and distribution costs, including carbon prices but not including other taxes;;Final Energy|Industry|Non-Ferrous Metals|Aluminum|Liquids|Biomass;;;;;;
Price|Final Energy|Industry|Non-Ferrous Metals|Aluminum|Liquids|Coal;USD_2010/GJ;3;Price for liquid fuels from coal in the aluminum including transmission and distribution costs, including carbon prices but not including other taxes;;Final Energy|Industry|Non-Ferrous Metals|Aluminum|Liquids|Coal;;;;;;
Price|Final Energy|Industry|Non-Ferrous Metals|Aluminum|Liquids|Electricity;USD_2010/GJ;3;Price for liquid synthetic fuels from electricity, i.e., e-fuels (if hydrogen is not explicitly modeled as an intermediate product) in the aluminum including transmission and distribution costs, including carbon prices but not including other taxes;;Final Energy|Industry|Non-Ferrous Metals|Aluminum|Liquids|Electricity;;;;;;
Price|Final Energy|Industry|Non-Ferrous Metals|Aluminum|Liquids|Fossil;USD_2010/GJ;3;Price for liquid fuels from fossil fuels including coal, natural gas and conventional/unconventional oil in the aluminum including transmission and distribution costs, including carbon prices but not including other taxes;;Final Energy|Industry|Non-Ferrous Metals|Aluminum|Liquids|Fossil;;;;;;
Price|Final Energy|Industry|Non-Ferrous Metals|Aluminum|Liquids|Gas;USD_2010/GJ;3;Price for liquid fuels from fossil methane ('natural gas') in the aluminum including transmission and distribution costs, including carbon prices but not including other taxes;;Final Energy|Industry|Non-Ferrous Metals|Aluminum|Liquids|Gas;;;;;;
Price|Final Energy|Industry|Non-Ferrous Metals|Aluminum|Liquids|Hydrogen;USD_2010/GJ;3;Price for liquid fuels from hydrogen (if hydrogen is explicitly modeled as a commodity and not an implicit intermediate product of the transformation technologies) in the aluminum including transmission and distribution costs, including carbon prices but not including other taxes;;Final Energy|Industry|Non-Ferrous Metals|Aluminum|Liquids|Hydrogen;;;;;;
Price|Final Energy|Industry|Non-Ferrous Metals|Aluminum|Liquids|Oil;USD_2010/GJ;3;Price for liquid fuels from refined crude oil in the aluminum including transmission and distribution costs, including carbon prices but not including other taxes;;Final Energy|Industry|Non-Ferrous Metals|Aluminum|Liquids|Oil;;;;;;
Price|Final Energy|Industry|Non-Ferrous Metals|Aluminum|Liquids|Other;USD_2010/GJ;3;Price for sources that do not fit any other category in the aluminum including transmission and distribution costs, including carbon prices but not including other taxes;;Final Energy|Industry|Non-Ferrous Metals|Aluminum|Liquids|Other;;;;;;
Price|Final Energy|Industry|Non-Ferrous Metals|Aluminum|Solids;USD_2010/GJ;2;Price for solid energy carriers, including coal, briquettes, coke, and wood pellets in the aluminum including transmission and distribution costs, including carbon prices but not including other taxes;;Final Energy|Industry|Non-Ferrous Metals|Aluminum|Solids;;;;;;
